County_State	County_Name	Non-Commercial -Civil Public Use Airports and Seaplane base	Non-Commercial -Other Aerodromes	Number of Bridges	Number of business establishments	Number of resident workers who commute to work in other countie	Number of resident workers who commute within county	Number of resident workers who work at home	Number of resident workers	Number of residents	Number of workers from other counties who commute to work in th	Pct of Medium to Fair Condition Bridges	Pct of Poor Condition Bridges	Percent of resident workers who commute by transit	Primary and Commercial Airports	Route miles of freight railroad	Route miles of passenger railroad and rail transit	State_Name	Total Docks	Total Marinas
Madison County, Nebraska	Madison County	1	4	296	1310	1888	15965	645	18050	35125	2073	0.942567568	0.057432432	0.002770083	0	25.7	0	Nebraska		
McPherson County, Nebraska	McPherson County	0	1		7	82	115	35	210	425	96			0	0			Nebraska		
Merrick County, Nebraska	Merrick County	1	0	171	237	1655	2245	230	3910	7795	1674	0.894736842	0.105263158	0.004859335	0	65.4	0	Nebraska		
Morrill County, Nebraska	Morrill County	0	1	93	108	588	1770	180	2380	4845	611	0.978494624	0.021505376	0.004201681	0	102.8	0	Nebraska		
Nance County, Nebraska	Nance County	1	1	148	86	666	1130	135	1800	3605	674	0.925675676	0.074324324	0	0	34.1	0	Nebraska		
Nemaha County, Nebraska	Nemaha County	1	2	180	188	920	2440	180	3480	7100	1041	0.666666667	0.333333333	0	0	19.6	0	Nebraska	1	0
Nuckolls County, Nebraska	Nuckolls County	1	2	253	171	583	1575	195	2220	4350	647	0.865612648	0.134387352	0.009009009	0	19.1	0	Nebraska		
Otoe County, Nebraska	Otoe County	1	3	359	474	2517	5065	385	7945	15890	2888	0.699164345	0.300835655	0.00188798	0	65.1	0	Nebraska		
Pawnee County, Nebraska	Pawnee County	1	1	191	66	235	820	145	1205	2695	382	0.64921466	0.35078534	0	0	18	0	Nebraska		
Perkins County, Nebraska	Perkins County	1	8	13	131	215	1185	145	1440	2910	264	1	0	0.002777778	0	43.6	0	Nebraska		
Phelps County, Nebraska	Phelps County	1	2	81	344	792	3815	190	4615	9235	811	0.938271605	0.061728395	0	0	34.7	19.1	Nebraska		
Pierce County, Nebraska	Pierce County			177	244	1756	1855	265	3625	7180	1776	0.807909605	0.192090395	0		25.5	0	Nebraska		
Platte County, Nebraska	Platte County	1	2	424	1037	2223	14820	630	17165	32705	2361	0.931603774	0.068396226	0	0	67.6	0	Nebraska		
Polk County, Nebraska	Polk County			93	148	1161	1540	180	2725	5240	1181	0.88172043	0.11827957	0		28.1	0	Nebraska		
Red Willow County, Nebraska	Red Willow County	1	1	81	409	314	5040	395	5415	10885	377	0.925925926	0.074074074	0.001846722	0	50.2	30.9	Nebraska		
Richardson County, Nebraska	Richardson County	1	1	261	271	588	2690	280	3930	8150	1236	0.908045977	0.091954023	0	0	58.4	0	Nebraska		
Rock County, Nebraska	Rock County	1	0	14	49	177	605	80	775	1405	181	0.928571429	0.071428571	0	0			Nebraska		
Saline County, Nebraska	Saline County	1	1	293	306	1994	4845	240	6880	14355	2036	0.887372014	0.112627986	0.001453488	0	45	25.1	Nebraska		
Sarpy County, Nebraska	Sarpy County	0	3	186	3714	51251	37545	2685	92200	172460	54591	0.956989247	0.043010753	0.002114967	0	41.5	30.1	Nebraska	0	0
Saunders County, Nebraska	Saunders County	1	2	490	558	6155	4365	435	10655	20945	6287	0.889795918	0.110204082	0.000375411	0	70.2	4.6	Nebraska		
Scotts Bluff County, Nebraska	Scotts Bluff County	0	3	248	1101	604	16705	635	17725	36600	1013	0.951612903	0.048387097	0.003667137	1	85.2	0	Nebraska		
Seward County, Nebraska	Seward County	1	4	244	473	3540	4885	415	8475	17115	3594	0.905737705	0.094262295	0.000471976	0	43.4	0	Nebraska		
Sheridan County, Nebraska	Sheridan County	3	3	64	165	313	1975	165	2525	5260	547	1	0	0	0	43.8	0	Nebraska		
Sherman County, Nebraska	Sherman County	1	0	122	93	713	785	100	1510	3090	729	0.926229508	0.073770492	0.002649007	0	14.1	0	Nebraska		
Sioux County, Nebraska	Sioux County	0	1	36	15	244	380	110	665	1275	278	0.972222222	0.027777778	0	0	23.3	0	Nebraska		
Stanton County, Nebraska	Stanton County	0	1	225	108	2169	930	175	3100	6020	2177	0.862222222	0.137777778	0	0			Nebraska		
Thayer County, Nebraska	Thayer County	1	2	222	215	275	2140	195	2440	5165	323	0.923423423	0.076576577	0.001639344	0	25.3	0	Nebraska		
Thomas County, Nebraska	Thomas County	1	0	20	26	50	315	65	370	675	58	0.9	0.1	0	0	33.1	0	Nebraska		
Thurston County, Nebraska	Thurston County	1	1	152	120	429	1730	105	2425	6990	694	0.743421053	0.256578947	0.018556701	0	18.6	0	Nebraska		
Valley County, Nebraska	Valley County	1	1	117	184	365	1830	165	2210	4240	387	0.974358974	0.025641026	0.001809955	0	13.1	0	Nebraska		
Washington County, Nebraska	Washington County	1	3	150	604	5121	5245	440	10635	20340	5406	0.953333333	0.046666667	0	0	24	0	Nebraska		
Wayne County, Nebraska	Wayne County	1	1	254	247	1412	3425	420	4915	9415	1492	0.858267717	0.141732283	0	0			Nebraska		
Webster County, Nebraska	Webster County	1	1	194	95	609	1020	120	1665	3665	643	0.922680412	0.077319588	0.002402402	0	32.7	0	Nebraska		
Wheeler County, Nebraska	Wheeler County	0	2	13	23	133	320	80	465	805	141	0.923076923	0.076923077	0	0			Nebraska		
York County, Nebraska	York County	1	1	205	507	934	6075	360	7065	13840	993	0.980487805	0.019512195	0.001415428	0	33.7	0	Nebraska		
Carson City, Nevada	Carson City	1	3		1890	5965	17125	690	23440	54410	6323			0.002773038	0			Nevada		
Churchill County, Nevada	Churchill County	1	5	68	478	1163	8485	375	9715	24150	1231	0.985294118	0.014705882	0.000411734	0	68.5	42	Nevada		
Clark County, Nevada	Clark County	7	22	1056	45830	2513	923390	31350	939570	2070155	15430	0.996212121	0.003787879	0.038868844	1	160.2	4.3	Nevada		
Douglas County, Nevada	Douglas County	1	2	39	1579	5969	11995	1235	20115	47425	8113	1	0	0.001938852	0			Nevada		
Elko County, Nevada	Elko County	4	8	213	1121	4153	21465	1130	26090	52030	4613	0.981220657	0.018779343	0.133576083	1	314.9	242.8	Nevada		
Esmeralda County, Nevada	Esmeralda County	2	3	4	12	69	345	30	415	1070	73	1	0	0	0			Nevada		
Eureka County, Nevada	Eureka County	2	1	25	32	110	780	35	895	1730	120	0.96	0.04	0.05027933	0	67.5	67.5	Nevada		
Humboldt County, Nevada	Humboldt County	2	4	53	387	759	7430	425	8245	17090	803	1	0	0.129775622	0	175.8	112.1	Nevada		
Lander County, Nevada	Lander County	3	1	21	90	415	2240	115	2700	5905	453	1	0	0.135185185	0	52	52	Nevada		
Lincoln County, Nevada	Lincoln County	2	1	20	80	115	1655	105	1765	5155	115	1	0	0	0	105.5	0	Nevada		
Lyon County, Nevada	Lyon County	4	5	53	814	10250	9260	630	19815	51895	10561	0.924528302	0.075471698	0.00095887	0	54.4	10.9	Nevada		
Mineral County, Nevada	Mineral County	2	0	4	60	174	1635	145	1825	4520	192	0.75	0.25	0	0	42.3	0	Nevada		
Nye County, Nevada	Nye County	8	11	21	683	2144	11150	640	14095	43200	2853	0.952380952	0.047619048	0.011351543	0			Nevada		
Pershing County, Nevada	Pershing County	1	1	53	63	359	1680	115	2040	6690	363	0.943396226	0.056603774	0.014705882	0	106.2	75.3	Nevada		
Storey County, Nevada	Storey County			15	92	1355	400	120	1805	3940	1400	0.866666667	0.133333333	0		10.2	10.2	Nevada		
Washoe County, Nevada	Washoe County	2	12	299	12614	7609	194310	8800	209470	439915	14992	0.97993311	0.02006689	0.020976751	1	143.5	42	Nevada		
White Pine County, Nevada	White Pine County	1	4	5	183	124	3230	35	3425	9895	201	1	0	0.008759124	0	31.9	31.9	Nevada		
Belknap County, New Hampshire	Belknap County	2	13	108	1833	11035	18585	1275	30320	60390	11711	0.916666667	0.083333333	0.000494723	0	27.1	9	New Hampshire		
Carroll County, New Hampshire	Carroll County	0	20	189	1875	3680	17155	1575	22370	47415	5208	0.899470899	0.100529101	0.004246759	0	45.3	29.8	New Hampshire		
Cheshire County, New Hampshire	Cheshire County	1	7	189	1921	3462	30370	3540	39235	76320	8859	0.888888889	0.111111111	0.004205429	0	2.2	1.7	New Hampshire		
Coos County, New Hampshire	Coos County	3	9	185	845	1849	12045	935	14550	32220	2498	0.924324324	0.075675676	0.001924399	0	95.1	4.7	New Hampshire		
Grafton County, New Hampshire	Grafton County	2	18	530	2924	4385	35775	2260	44105	89165	8353	0.926415094	0.073584906	0.013150436	1	27.1	6.1	New Hampshire		
Hillsborough County, New Hampshire	Hillsborough County	1	36	383	11013	32035	143760	12640	213525	404950	69720	0.898172324	0.101827676	0.008429926	1	43.2	0	New Hampshire		
Merrimack County, New Hampshire	Merrimack County	1	23	321	4109	22560	49670	5340	75455	147715	25756	0.900311526	0.099688474	0.003432509	0	36.7	0	New Hampshire		
Rockingham County, New Hampshire	Rockingham County	0	30	302	9912	30240	89690	10465	165135	300365	75386	0.90397351	0.09602649	0.008326521	1	35.3	21.8	New Hampshire	7	0
Strafford County, New Hampshire	Strafford County	1	6	133	2621	20460	37775	2755	64350	125915	26559	0.92481203	0.07518797	0.024071484	0	35.3	13.1	New Hampshire		
Sullivan County, New Hampshire	Sullivan County	2	5	154	916	7040	11445	1105	20950	43050	9497	0.922077922	0.077922078	0.004916468	0	24.6	22.7	New Hampshire		
Atlantic County, New Jersey	Atlantic County	2	14	209	6239	19350	101090	2940	124515	274025	23395	0.90430622	0.09569378	0.06745372	1	63	44.4	New Jersey	1	0
Bergen County, New Jersey	Bergen County	1	10	570	31916	97175	252870	21670	456130	930310	202963	0.940350877	0.059649123	0.143555565	0	98.3	46.9	New Jersey	0	0
Burlington County, New Jersey	Burlington County	2	25	360	10444	67970	121290	8100	220920	450235	99589	0.908333333	0.091666667	0.034786348	0	37.8	20.7	New Jersey	0	0
Camden County, New Jersey	Camden County	0	16	260	11518	71845	122620	7785	239140	511145	116493	0.911538462	0.088461538	0.074036129	0	89.6	37.6	New Jersey	6	0
Cape May County, New Jersey	Cape May County	3	5	73	3850	7752	32695	1850	42675	95405	9909	0.835616438	0.164383562	0.020152314	0	37.7	27.3	New Jersey	0	0
Cumberland County, New Jersey	Cumberland County	1	13	103	2815	14689	43825	1010	60410	155745	16583	0.941747573	0.058252427	0.019947029	0	51.8	0	New Jersey		
Essex County, New Jersey	Essex County	1	10	499	18874	123485	180040	12380	353855	792585	173773	0.941883768	0.058116232	0.20798067	1	75.9	33.5	New Jersey	13	0
Gloucester County, New Jersey	Gloucester County	0	10	242	6092	48940	64140	4625	141660	291285	77461	0.950413223	0.049586777	0.021565721	0	65.9	0	New Jersey	5	0
Hudson County, New Jersey	Hudson County	0	11	190	13550	83770	148510	10110	338985	668525	190241	0.910526316	0.089473684	0.413484372	0	88.5	34.4	New Jersey	27	0
Hunterdon County, New Jersey	Hunterdon County	0	21	368	3813	30264	29155	5120	64525	125710	35301	0.91576087	0.08423913	0.02371174	0	59.6	11	New Jersey		
Mercer County, New Jersey	Mercer County	0	11	402	9732	39305	117655	8640	175095	371100	57291	0.868159204	0.131840796	0.07872869	1	40.3	21.1	New Jersey		
Middlesex County, New Jersey	Middlesex County	0	21	555	21850	136840	213800	16005	395050	831850	181033	0.947747748	0.052252252	0.09497532	0	149.7	41.9	New Jersey	10	0
Monmouth County, New Jersey	Monmouth County	0	24	502	19294	82675	186135	15425	303315	627530	117145	0.884462151	0.115537849	0.079142146	0	78	31	New Jersey	5	0
Morris County, New Jersey	Morris County	1	14	506	16962	86515	147525	13815	254870	498215	107221	0.922924901	0.077075099	0.051712638	0	84.8	51.1	New Jersey		
Ocean County, New Jersey	Ocean County	2	16	238	13380	83815	150220	11750	243335	586165	92951	0.953781513	0.046218487	0.019849179	0	17.5	2	New Jersey	0	0
Passaic County, New Jersey	Passaic County	1	8	329	12158	104565	106420	6895	229860	507205	123397	0.939209726	0.060790274	0.093404681	0	36.9	16.5	New Jersey	0	0
Salem County, New Jersey	Salem County	0	13	111	1155	10748	13320	700	28640	64505	15323	0.927927928	0.072072072	0.010125698	0	25.6	0	New Jersey		
Somerset County, New Jersey	Somerset County	0	24	394	10006	78909	77585	9605	168915	331685	91268	0.88071066	0.11928934	0.048456324	0	57.1	23.2	New Jersey		
Sussex County, New Jersey	Sussex County	2	9	175	3224	35689	32765	3895	73920	144695	41109	0.868571429	0.131428571	0.01758658	0	32.7	0	New Jersey		
Union County, New Jersey	Union County	1	4	401	13821	113760	121745	10185	264915	550435	143120	0.942643392	0.057356608	0.11205481	0	67.6	32.7	New Jersey	8	0
Warren County, New Jersey	Warren County	0	21	259	2450	26449	21700	2550	52855	107095	31110	0.938223938	0.061776062	0.012278876	0	58.4	2.6	New Jersey		
Bernalillo County, New Mexico	Bernalillo County	1	4	492	15964	18574	288645	13055	309195	674775	20491	0.981707317	0.018292683	0.019275862	1	31.7	30.2	New Mexico		
Catron County, New Mexico	Catron County	6	8	99	62	60	950	145	1025	3545	75	0.898989899	0.101010101	0	0			New Mexico		
Chaves County, New Mexico	Chaves County	0	5	118	1387	2909	22935	935	26215	65610	3283	0.966101695	0.033898305	0.012397482	1	89	0	New Mexico		
Cibola County, New Mexico	Cibola County	1	3	106	307	1586	7710	640	9370	27375	1653	0.952830189	0.047169811	0.003735326	0	59	59	New Mexico		
Colfax County, New Mexico	Colfax County	3	2	140	401	120	4205	210	4630	12715	429	0.957142857	0.042857143	0.007559395	0	58.5	58.5	New Mexico		
Curry County, New Mexico	Curry County	0	2	20	1038	928	20230	295	22005	50545	1768	1	0	0.001363327	1	49.3	0	New Mexico		
De Baca County, New Mexico	De Baca County	1	1	24	46	48	595	55	640	1975	48	1	0	0	0	68.4	0	New Mexico		
Doña Ana County, New Mexico	Doña Ana County	3	2	260	3716	1989	73705	3620	89485	213825	15661	0.934615385	0.065384615	0.003508968	0	140.3	59.9	New Mexico		
Eddy County, New Mexico	Eddy County	1	5	92	1447	728	25195	535	26215	56370	1002	1	0	0.006675567	1	130.7	0	New Mexico		
Grant County, New Mexico	Grant County	0	4	99	595	277	10075	585	10450	28880	371	0.909090909	0.090909091	0.002392344	1	53.7	20.1	New Mexico		
Guadalupe County, New Mexico	Guadalupe County	2	0	83	87	54	1190	30	1245	4470	58	0.951807229	0.048192771	0	0	116.7	0	New Mexico		
Harding County, New Mexico	Harding County	0	4	13	12	39	165	55	200	565	43	0.846153846	0.153846154	0	0			New Mexico		
Hidalgo County, New Mexico	Hidalgo County	1	5	58	110	105	1420	100	1745	4530	319	0.931034483	0.068965517	0	0	65.9	36.6	New Mexico		
Lea County, New Mexico	Lea County	4	1	10	1681	604	26755	700	28585	68930	1835	1	0	0.005772258	1	82	0	New Mexico		
Lincoln County, New Mexico	Lincoln County	2	6	132	676	864	6355	590	7505	19725	1107	0.96969697	0.03030303	0	0	74.4	0	New Mexico		
Los Alamos County, New Mexico	Los Alamos County	1	1	3	373	489	8410	325	8970	17895	559	0.666666667	0.333333333	0.032887402	0			New Mexico		
Luna County, New Mexico	Luna County	1	6	107	386	810	6825	430	7860	24625	1040	0.990654206	0.009345794	0.010814249	0	118.9	55.4	New Mexico		
McKinley County, New Mexico	McKinley County	3	1	279	995	1449	20165	2155	22610	74345	2470	0.946236559	0.053763441	0.005749668	0	163.9	92.9	New Mexico		
Mora County, New Mexico	Mora County			78	45	626	515	70	1130	4600	626	0.884615385	0.115384615	0		41	41	New Mexico		
Otero County, New Mexico	Otero County	2	5	130	967	1344	22330	645	24795	65335	2449	0.992307692	0.007692308	0.007259528	0	110.1	0	New Mexico		
Quay County, New Mexico	Quay County	1	3	120	221	202	2745	245	2975	8555	240	0.908333333	0.091666667	0.001344538	0	75.9	0	New Mexico		
Rio Arriba County, New Mexico	Rio Arriba County	3	4	157	560	5982	8370	570	14425	39925	6051	0.917197452	0.082802548	0.015944541	0	30.6	30.6	New Mexico		
Roosevelt County, New Mexico	Roosevelt County	1	0	9	321	1890	5635	175	7780	19620	2146	1	0	0.001285347	0	60.8	0	New Mexico		
San Juan County, New Mexico	San Juan County	5	1	167	2626	747	46300	1420	49280	122535	2961	0.94011976	0.05988024	0.003043831	0			New Mexico		
San Miguel County, New Mexico	San Miguel County	3	5	177	447	1829	7290	850	9245	28350	1929	0.892655367	0.107344633	0.00378583	0	68.5	68.5	New Mexico		
Sandoval County, New Mexico	Sandoval County	0	1	184	1766	32557	24870	3165	58130	138115	33238	0.902173913	0.097826087	0.012041975	0	31.2	31.2	New Mexico		
Santa Fe County, New Mexico	Santa Fe County	0	3	250	4759	10688	56985	5455	68320	147320	11295	0.964	0.036	0.013173302	1	57.4	57.4	New Mexico		
Sierra County, New Mexico	Sierra County	1	4	109	216	129	3705	190	3885	11440	179	0.908256881	0.091743119	0.001029601	0	49.9	0	New Mexico		
Socorro County, New Mexico	Socorro County	2	5	187	225	1002	4605	155	5665	17325	1061	0.903743316	0.096256684	0.00353045	0	91	0	New Mexico		
Taos County, New Mexico	Taos County	2	4	100	1060	802	13025	1605	13850	32960	833	0.9	0.1	0.003610108	0			New Mexico		
Torrance County, New Mexico	Torrance County	3	1	70	207	2394	3005	735	5420	15600	2414	0.957142857	0.042857143	0.000738007	0	100.1	0	New Mexico		
Union County, New Mexico	Union County	1	2	68	97	48	1360	65	1530	4290	179	0.941176471	0.058823529	0.009150327	0	83.3	0	New Mexico		
Valencia County, New Mexico	Valencia County	1	4	69	911	12547	14760	1235	27700	75995	12908	0.913043478	0.086956522	0.01299639	0	106.3	62.7	New Mexico		
Albany County, New York	Albany County	0	10	345	9533	30347	122095	5045	153525	307890	31393	0.942028986	0.057971014	0.05546328	1	86.6	11.8	New York	4	0
Allegany County, New York	Allegany County	1	2	401	761	5328	13930	495	19890	47700	5970	0.912718204	0.087281796	0.006535948	0	58.5	0	New York		
Bronx County, New York	Bronx County	0	1	316	18199	306908	239885	17815	560325	1436785	320368	0.873417722	0.126582278	0.601606211	0	52.5	48.3	New York	5	0
Broome County, New York	Broome County	1	3	459	4210	8437	76810	2785	86805	197380	9992	0.954248366	0.045751634	0.032717009	1	100.7	26.4	New York		
Cattaraugus County, New York	Cattaraugus County	1	10	480	1608	8907	23035	995	33360	78505	10330	0.945833333	0.054166667	0.002997602	0	130.8	0	New York		
Cayuga County, New York	Cayuga County	0	9	145	1601	13542	22335	1250	36005	78785	13673	0.786206897	0.213793103	0.010748507	0	30.6	11.4	New York		
Chautauqua County, New York	Chautauqua County	2	13	558	2872	3883	48645	1985	55260	131750	6580	0.924731183	0.075268817	0.003166848	0	94.1	40	New York		
Chemung County, New York	Chemung County	0	5	255	1758	7472	28375	895	37385	87740	8999	0.88627451	0.11372549	0.018028621	1	39.3	0	New York		
Chenango County, New York	Chenango County	2	5	256	916	6586	14145	985	20845	49285	6716	0.921875	0.078125	0.004989206	0	60.6	0	New York		
Clinton County, New York	Clinton County	0	8	200	1832	2366	31265	860	34650	81505	3323	0.9	0.1	0.006291486	1	45.4	36.2	New York		
Columbia County, New York	Columbia County	1	5	243	1796	9575	17935	1925	29415	61860	11474	0.810699588	0.189300412	0.026007139	0	63.3	55.2	New York	0	0
Cortland County, New York	Cortland County	1	2	192	1029	6549	17125	1165	23750	48715	6620	0.864583333	0.135416667	0.007368421	0	31.5	29	New York		
Delaware County, New York	Delaware County	0	10	450	1058	5627	13565	1220	19380	46480	5838	0.911111111	0.088888889	0.015944272	0	47	15.6	New York		
Dutchess County, New York	Dutchess County	1	19	336	7607	41886	93415	8060	140505	295905	46995	0.883928571	0.116071429	0.05113697	0	94.7	94.7	New York	1	0
Erie County, New York	Erie County	0	24	896	22940	25252	406375	11820	434030	922130	27172	0.922991071	0.077008929	0.036909891	1	227.8	63.2	New York	3	0
Essex County, New York	Essex County	4	7	250	1194	3774	12380	935	16975	38600	4583	0.908	0.092	0.006421208	0	97.3	97.3	New York		
Franklin County, New York	Franklin County	1	1	188	953	3610	15945	1055	19645	51005	3668	0.845744681	0.154255319	0.006261135	1	10.6	0.9	New York		
Fulton County, New York	Fulton County	1	6	96	1174	9765	13740	565	23675	54295	9934	0.875	0.125	0.005702218	0			New York		
Genesee County, New York	Genesee County	1	6	166	1292	11172	17990	820	29210	59055	11225	0.825301205	0.174698795	0.003183841	0	65.1	29.9	New York		
Greene County, New York	Greene County	0	11	227	1167	8038	11055	855	19235	48070	8181	0.916299559	0.083700441	0.011957369	0	24.3	0	New York	1	0
Hamilton County, New York	Hamilton County	1	5	87	198	760	1060	55	1830	4695	780	0.816091954	0.183908046	0.002185792	0			New York		
Herkimer County, New York	Herkimer County	1	8	240	1130	13463	14615	1075	28265	63560	13639	0.895833333	0.104166667	0.008455687	0	35.3	35.3	New York		
Jefferson County, New York	Jefferson County	0	8	320	2444	2147	51470	2155	54185	117965	2652	0.846875	0.153125	0.00348805	1	80.5	0	New York	0	0
Kings County, New York	Kings County	0	3	241	58785	559624	579045	48195	1165435	2606850	585851	0.904564315	0.095435685	0.617606302	0	63.3	56	New York	24	0
Lewis County, New York	Lewis County	0	1	168	524	4246	7220	535	11595	27105	4378	0.785714286	0.214285714	0.001293661	0	47.6	0	New York		
Livingston County, New York	Livingston County	1	7	162	1242	13332	15690	1020	29090	64620	13394	0.944444444	0.055555556	0.00481265	0	57.2	0	New York		
Madison County, New York	Madison County	1	5	173	1402	15920	16560	1370	32625	72090	16083	0.861271676	0.138728324	0.004536398	0	25.2	13.8	New York		
Monroe County, New York	Monroe County	0	12	610	17739	20435	333635	12905	355665	749235	21992	0.901639344	0.098360656	0.030559656	1	111.8	30.8	New York	1	0
Montgomery County, New York	Montgomery County	0	11	203	1074	9437	11625	735	21140	49665	9522	0.921182266	0.078817734	0.012961211	0	42.2	40.2	New York		
Nassau County, New York	Nassau County	0	18	323	48608	273578	378445	24800	660185	1356800	281314	0.987616099	0.012383901	0.166006498	0	83	83	New York	6	0
New York County, New York	New York County	1	4	247	103925	99615	739475	60040	875400	1634990	134593	0.923076923	0.076923077	0.592380626	0	23.1	23.1	New York	29	0
Niagara County, New York	Niagara County	0	14	268	4594	38115	59905	2395	98585	213375	38559	0.917910448	0.082089552	0.010792717	1	71.7	15.2	New York	0	0
Oneida County, New York	Oneida County	1	15	487	4899	12032	88180	4035	100765	232860	12529	0.889117043	0.110882957	0.010668387	0	121	69.9	New York		
Onondaga County, New York	Onondaga County	0	13	472	11714	13632	204325	7840	219060	468050	14706	0.896186441	0.103813559	0.031402356	1	118.9	58.2	New York		
Ontario County, New York	Ontario County	1	11	179	2977	20115	32575	2020	52950	109450	20357	0.916201117	0.083798883	0.007648725	0	44	0	New York		
Orange County, New York	Orange County	2	21	474	9596	44888	113970	8425	171900	376240	57844	0.860759494	0.139240506	0.052152414	1	131.1	59.2	New York	1	0
Orleans County, New York	Orleans County	0	9	136	665	7443	9985	570	17495	41940	7510	0.860294118	0.139705882	0.007144899	0	24	0	New York		
Oswego County, New York	Oswego County	1	7	230	2136	19214	31350	1830	50895	120515	19544	0.87826087	0.12173913	0.007859318	0	85	0	New York	0	0
Otsego County, New York	Otsego County	1	8	272	1391	5769	21570	1670	27540	60980	5987	0.875	0.125	0.018881627	0	56.4	8.3	New York		
Putnam County, New York	Putnam County	0	1	102	2898	30712	14880	2590	49850	99410	34955	0.892156863	0.107843137	0.084653962	0	35.4	35.4	New York	0	0
Queens County, New York	Queens County	0	5	490	50262	609108	462295	26770	1090910	2310010	628360	0.942857143	0.057142857	0.520340816	2	86.9	81.5	New York	10	0
Rensselaer County, New York	Rensselaer County	0	5	267	2983	41802	33940	2675	78575	159960	44607	0.883895131	0.116104869	0.026662424	0	74	25.8	New York	1	0
Richmond County, New York	Richmond County	0	2	158	9387	86412	106425	5145	206775	473325	100318	0.981012658	0.018987342	0.301511305	0	20.8	14.5	New York	21	0
Rockland County, New York	Rockland County	0	5	244	10187	39411	85680	6895	144060	322640	58368	0.909836066	0.090163934	0.086519506	0	38.2	11.4	New York	0	0
Saratoga County, New York	Saratoga County	1	12	227	5417	49941	63235	6405	114145	224930	50787	0.925110132	0.074889868	0.009444128	0	90.4	59.9	New York	0	0
Schenectady County, New York	Schenectady County	1	4	115	3045	33906	37980	2415	72215	154845	34240	0.913043478	0.086956522	0.044021325	0	71.3	19.9	New York		
Schoharie County, New York	Schoharie County	0	9	171	587	5767	7635	610	13585	31665	5925	0.912280702	0.087719298	0.015016562	0	20.9	0	New York		
Schuyler County, New York	Schuyler County	0	7	99	383	4137	3915	305	8135	18335	4204	0.898989899	0.101010101	0.008481868	0	21.2	0	New York		
Seneca County, New York	Seneca County	1	3	59	720	6708	8220	600	15115	35035	6896	0.762711864	0.237288136	0.004631161	0	41.7	0	New York		
St. Lawrence County, New York	St. Lawrence County	1	5	315	1915	4202	38815	1955	43220	111530	4395	0.873015873	0.126984127	0.005159648	2	142.6	0	New York		
Steuben County, New York	Steuben County	2	8	629	1808	9264	31490	1285	42245	98150	10776	0.912559618	0.087440382	0.005988874	0	126.7	0	New York		
Suffolk County, New York	Suffolk County	7	27	366	49806	166627	551525	26105	723745	1498130	172009	0.994535519	0.005464481	0.064497855	1	179.1	179.1	New York	12	0
Sullivan County, New York	Sullivan County	1	6	358	1931	8922	22000	1515	31730	75820	9723	0.874301676	0.125698324	0.021430823	0	29.1	0	New York		
Tioga County, New York	Tioga County	0	2	217	776	11355	8925	660	22445	49650	13522	0.889400922	0.110599078	0.008910671	0	73.4	9.5	New York		
Tompkins County, New York	Tompkins County	0	5	196	2377	3862	43950	2705	48415	104270	4439	0.846938776	0.153061224	0.065165754	1	27.3	0	New York		
Ulster County, New York	Ulster County	1	19	385	4850	26409	55820	5350	83525	180505	27679	0.766233766	0.233766234	0.023154744	0	46.8	6.9	New York	2	0
Warren County, New York	Warren County	1	3	137	2276	8671	22480	1215	31465	64910	8985	0.868613139	0.131386861	0.009502622	0	31.3	29.2	New York		
Washington County, New York	Washington County	0	9	183	1069	13263	12360	1395	28175	62465	15820	0.879781421	0.120218579	0.009760426	0	87.6	49.9	New York		
Wayne County, New York	Wayne County	0	10	96	1729	20139	21955	1390	42285	91875	20331	0.833333333	0.166666667	0.006503488	0	84.7	37	New York	0	0
Westchester County, New York	Westchester County	0	9	767	31885	145932	285060	23555	459790	969230	174437	0.928292047	0.071707953	0.223612954	1	82.4	82.4	New York	6	0
Wyoming County, New York	Wyoming County	1	6	134	791	8276	9710	520	18050	41240	8350	0.910447761	0.089552239	0.003601108	0	61.4	0	New York		
Yates County, New York	Yates County	1	2	55	518	4121	6700	1005	10980	25105	4265	0.945454545	0.054545455	0.003187614	0	40.1	0	New York		
Alamance County, North Carolina	Alamance County	1	3	233	3311	23537	47155	1935	71315	156370	24140	0.922746781	0.077253219	0.002453902	0	16.9	16.9	North Carolina		
Alexander County, North Carolina	Alexander County	0	5	104	566	8442	6670	315	15280	37210	8603	0.875	0.125	0	0	9.2	0	North Carolina		
Alleghany County, North Carolina	Alleghany County	0	1	115	247	748	3220	225	4335	10870	1116	0.756521739	0.243478261	0.000922722	0			North Carolina		
Anson County, North Carolina	Anson County	1	1	156	400	3966	5610	115	9920	25885	4305	0.929487179	0.070512821	0.007560484	0	43.7	0	North Carolina		
Ashe County, North Carolina	Ashe County	1	1	242	548	3190	7885	375	11415	26990	3525	0.723140496	0.276859504	0.001752081	0			North Carolina		
Avery County, North Carolina	Avery County	1	4	105	494	1682	4645	175	6395	17635	1773	0.847619048	0.152380952	0.005473026	0			North Carolina		
Beaufort County, North Carolina	Beaufort County	1	4	156	1088	4744	13825	870	18775	47515	4946	0.769230769	0.230769231	0.001065246	0	84.6	0	North Carolina		
Bertie County, North Carolina	Bertie County	0	1	95	295	2767	4030	160	7000	20325	2973	0.905263158	0.094736842	0.007714286	0	11.9	0	North Carolina		
