State_Name,County_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%),Area (mi^2)
Iowa,Crawford,311,17145,0.864951768,0.135048232,0,78.3,0,0.906330826,714.99
Kansas,Crawford,294,39280,0.918367347,0.081632653,0,61,0,0.883778315,595.05
Michigan,Crawford,53,13840,0.924528302,0.075471698,0,29,0,0.771767308,563.37
Missouri,Crawford,120,24545,0.95,0.05,0,26.1,0,0.753229107,743.79
Ohio,Crawford,232,42485,0.948275862,0.051724138,0,82.1,0,0.834323878,402.83
Pennsylvania,Crawford,399,87025,0.804511278,0.195488722,0,73.6,1.4,0.714875343,1037.74
Wisconsin,Crawford,209,16415,0.933014354,0.066985646,0,55.1,0,0.833592818,599.22
Oklahoma,Creek,413,70930,0.740920097,0.259079903,0,72.8,0,0.629165553,969.77
Alabama,Crenshaw,171,13895,0.970760234,0.029239766,0,,,0.880672042,610.88
Georgia,Crisp,98,23060,1,0,0,53.2,0,0.967672415,281.2
Arkansas,Crittenden,234,49510,0.97008547,0.02991453,0,88.5,0,0.796760502,636.69
Kentucky,Crittenden,90,9210,0.922222222,0.077777778,0,,,0.920222177,370.95
Tennessee,Crockett,163,14560,0.981595092,0.018404908,,11.9,0,0.945988112,265.47
Texas,Crockett,159,3835,0.993710692,0.006289308,0,0.5,0,0.891372329,2807.43
Oregon,Crook,76,21335,0.960526316,0.039473684,0,15.6,0,0.897757095,2987.41
Wyoming,Crook,176,7285,0.954545455,0.045454545,0,23.9,0,0.803817764,2870.52
Texas,Crosby,16,5985,0.9375,0.0625,0,,,0.891372329,901.69
Arkansas,Cross,129,17330,0.937984496,0.062015504,0,69.8,0,0.796760502,622.33
Minnesota,Crow Wing,72,63320,0.958333333,0.041666667,1,29.5,0,0.850650597,1156.56
Colorado,Crowley,28,5535,0.892857143,0.107142857,0,,,0.78095535,800.33
Texas,Culberson,135,2260,1,0,0,65.6,18.7,0.891372329,3812.71
Alabama,Cullman,245,81315,0.946938776,0.053061224,0,24.6,0,0.880672042,754.82
Virginia,Culpeper,97,48950,0.979381443,0.020618557,0,23.2,23.2,0.884284057,382.28
Illinois,Cumberland,168,10890,0.964285714,0.035714286,0,34.5,6.9,0.807663106,347
Kentucky,Cumberland,87,6780,0.954022989,0.045977011,0,,,0.920222177,310.85
Maine,Cumberland,336,288205,0.919642857,0.080357143,1,68.9,42,0.776837947,1216.89
New Jersey,Cumberland,103,155745,0.941747573,0.058252427,0,51.8,0,0.529653452,676.59
North Carolina,Cumberland,301,325840,0.950166113,0.049833887,1,96.9,32.9,0.890560355,658.46
Pennsylvania,Cumberland,337,243840,0.908011869,0.091988131,0,82.9,0,0.714875343,551.14
Tennessee,Cumberland,136,57895,0.948529412,0.051470588,0,10.5,0,0.945988112,684.95
Virginia,Cumberland,39,9770,0.948717949,0.051282051,0,,,0.884284057,299.73
Nebraska,Cuming,405,9055,0.950617284,0.049382716,,,,0.899117407,574.54
North Carolina,Currituck,21,24865,0.904761905,0.095238095,0,14.5,0,0.890560355,525.65
New Mexico,Curry,20,50545,1,0,1,49.3,0,0.698534578,1407.67
Oregon,Curry,102,22365,0.980392157,0.019607843,0,,,0.897757095,1988.57
Colorado,Custer,20,4375,0.95,0.05,0,,,0.78095535,739.9
Idaho,Custer,121,4185,0.917355372,0.082644628,0,,,0.968883613,4936.79
Montana,Custer,75,11980,0.946666667,0.053333333,0,51.8,0,0.880305656,3793.22
Nebraska,Custer,310,10785,0.951612903,0.048387097,0,59.2,0,0.899117407,2576.08
Oklahoma,Custer,392,29250,0.948979592,0.051020408,0,78.3,0,0.629165553,1002
South Dakota,Custer,93,8445,0.935483871,0.064516129,0,36.4,0,0.857210259,1559.14
Ohio,Cuyahoga,864,1258710,0.908564815,0.091435185,1,225.5,88.8,0.834323878,1245.56
Georgia,Dade,73,16355,0.97260274,0.02739726,0,28.1,0,0.967672415,174.16
Missouri,Dade,166,7590,0.921686747,0.078313253,0,32,0,0.753229107,506.3
Utah,Daggett,12,750,1,0,0,,,0.783681005,723.06
Minnesota,Dakota,251,411400,0.980079681,0.019920319,0,118.5,7.5,0.850650597,586.33
Nebraska,Dakota,74,20695,0.864864865,0.135135135,0,33.8,0,0.899117407,267.39
Alabama,Dale,203,49605,1,0,1,53.4,0,0.880672042,562.67
Texas,Dallam,22,7050,1,0,0,71.6,0,0.891372329,1505.26
Alabama,Dallas,227,41425,0.969162996,0.030837004,0,110.7,0,0.880672042,993.37
Arkansas,Dallas,110,7740,0.936363636,0.063636364,0,7.3,0,0.796760502,668.16
Iowa,Dallas,186,78075,0.887096774,0.112903226,0,21.6,0,0.906330826,591.73
Missouri,Dallas,113,16510,0.96460177,0.03539823,0,,,0.753229107,542.83
Texas,Dallas,3035,2513055,0.994398682,0.005601318,1,225,85.8,0.891372329,908.56
Wisconsin,Dane,566,516820,0.927561837,0.072438163,1,111.3,0,0.833592818,1238.32
Montana,Daniels,37,1785,0.918918919,0.081081081,0,27.1,0,0.880305656,1426.52
Virginia,Danville,61,42360,0.967213115,0.032786885,0,14.1,8.1,0.884284057,43.94
North Carolina,Dare,39,35185,0.820512821,0.179487179,0,,,0.890560355,1561.51
Ohio,Darke,482,52185,1,0,0,32.5,0,0.834323878,600.29
South Carolina,Darlington,170,67690,0.935294118,0.064705882,0,41.7,0,0.812866638,566.78
Pennsylvania,Dauphin,444,271960,0.912162162,0.087837838,1,94,27.3,0.714875343,557.53
North Carolina,Davidson,336,164060,0.913690476,0.086309524,0,91.1,24.8,0.890560355,566.77
Tennessee,Davidson,801,667885,0.962546816,0.037453184,1,128,13.4,0.945988112,526.11
North Carolina,Davie,94,41570,0.957446809,0.042553191,0,17.7,0,0.890560355,266.89
Indiana,Daviess,221,32585,0.986425339,0.013574661,0,60.4,0,0.92512153,436.86
Kentucky,Daviess,282,98725,0.964539007,0.035460993,1,26.4,0,0.920222177,476.27
Missouri,Daviess,230,8255,0.77826087,0.22173913,0,10.5,0,0.753229107,569.07
Iowa,Davis,180,8770,0.638888889,0.361111111,0,,,0.906330826,504.89
Utah,Davis,120,329290,0.991666667,0.008333333,0,57.5,25.9,0.783681005,633.7
South Dakota,Davison,121,19825,0.867768595,0.132231405,0,43.9,0,0.857210259,436.78
Nebraska,Dawes,95,9080,0.821052632,0.178947368,1,86.4,0,0.899117407,1400.86
Georgia,Dawson,45,22940,0.955555556,0.044444444,0,,,0.967672415,213.93
Montana,Dawson,113,9430,0.938053097,0.061946903,1,107.7,0,0.880305656,2383.13
Nebraska,Dawson,299,23925,0.969899666,0.030100334,0,47.6,0,0.899117407,1019.3
Texas,Dawson,3,13315,1,0,0,,,0.891372329,902.12
South Dakota,Day,33,5590,0.696969697,0.303030303,0,43.3,0,0.857210259,1091.21
New Mexico,De Baca,24,1975,1,0,0,68.4,0,0.698534578,2333.83
Louisiana,De Soto,206,27045,0.888349515,0.111650485,0,74.8,0,0.743835895,894.49
Illinois,De Witt,193,16320,0.958549223,0.041450777,0,43.5,0,0.807663106,405.15
Texas,Deaf Smith,27,19040,1,0,0,22.2,0,0.891372329,1498.26
Indiana,Dearborn,146,49550,0.876712329,0.123287671,0,46.2,0,0.92512153,307.05
Georgia,Decatur,74,27235,0.972972973,0.027027027,0,56.3,0,0.967672415,623.16
Indiana,Decatur,217,26340,0.903225806,0.096774194,0,20.7,0,0.92512153,373.42
Iowa,Decatur,207,8210,0.623188406,0.376811594,0,,,0.906330826,533.32
Kansas,Decatur,162,2885,0.913580247,0.086419753,0,56,0,0.883778315,894.18
Tennessee,Decatur,105,11705,0.971428571,0.028571429,,,,0.945988112,344.91
Montana,Deer Lodge,73,9175,0.890410959,0.109589041,0,25.7,0,0.880305656,741.16
Ohio,Defiance,161,38490,0.950310559,0.049689441,0,36.2,0,0.834323878,414.19
Alabama,DeKalb,300,70935,0.93,0.07,0,39.2,0,0.880672042,778.65
Georgia,DeKalb,384,723900,0.986979167,0.013020833,0,49.3,6.9,0.967672415,270.91
Illinois,DeKalb,260,104460,0.880769231,0.119230769,0,96.4,5.4,0.807663106,634.97
Indiana,DeKalb,147,42490,0.993197279,0.006802721,0,58.4,20.2,0.92512153,363.84
Missouri,DeKalb,238,12705,0.945378151,0.054621849,0,,,0.753229107,425.77
Tennessee,DeKalb,100,19160,0.98,0.02,0,,,0.945988112,328.98
California,Del Norte,95,27630,0.842105263,0.157894737,0,,,0.58749769,1229.75
Indiana,Delaware,275,116465,0.927272727,0.072727273,0,65.9,0,0.92512153,395.92
Iowa,Delaware,290,17445,0.927586207,0.072413793,0,39.9,0,0.906330826,579.05
New York,Delaware,450,46480,0.911111111,0.088888889,0,47,15.6,0.746636286,1468.04
Ohio,Delaware,272,188995,0.988970588,0.011029412,0,72.3,0,0.834323878,455.97
Oklahoma,Delaware,162,41435,0.845679012,0.154320988,0,,,0.629165553,792.33
Pennsylvania,Delaware,363,562315,0.831955923,0.168044077,1,69,40.8,0.714875343,190.74
Colorado,Delta,64,30220,1,0,0,69.7,0,0.78095535,1148.52
Michigan,Delta,86,36570,0.918604651,0.081395349,1,109.9,0,0.771767308,1991.58
Texas,Delta,96,5225,0.96875,0.03125,0,0.6,0,0.891372329,277.92
Alaska,Denali,23,2125,1,0,0,83.1,80.9,0.769478458,12774.53
Missouri,Dent,74,15580,0.972972973,0.027027027,0,,,0.753229107,754.51
Texas,Denton,746,754650,0.993297587,0.006702413,0,131.5,41.7,0.891372329,957.88
Colorado,Denver,439,663305,0.972665148,0.027334852,1,53.2,19.8,0.78095535,154.94
Iowa,Des Moines,176,40115,0.795454545,0.204545455,1,75.3,18.1,0.906330826,429.8
Oregon,Deschutes,144,170815,0.986111111,0.013888889,1,64.6,0,0.897757095,3054.77
Arkansas,Desha,83,12235,0.975903614,0.024096386,0,48.2,0,0.796760502,819.52
Florida,DeSoto,57,35135,0.98245614,0.01754386,0,23.9,0,0.882151679,639.5
Mississippi,DeSoto,244,170890,0.967213115,0.032786885,0,46.7,11,0.731516457,496.77
Nebraska,Deuel,74,1930,0.986486486,0.013513514,0,26.4,0,0.899117407,440.79
South Dakota,Deuel,72,4310,0.75,0.25,0,,,0.857210259,636.72
Oklahoma,Dewey,169,4860,0.976331361,0.023668639,0,2.5,0,0.629165553,1008.26
South Dakota,Dewey,25,5650,0.84,0.16,0,,,0.857210259,2445.67
Texas,DeWitt,264,20660,0.988636364,0.011363636,0,29.7,0,0.891372329,910.47
Texas,Dickens,73,2235,0.95890411,0.04109589,0,,,0.891372329,905.21
Virginia,Dickenson,76,15305,0.973684211,0.026315789,0,54.7,0,0.884284057,333.63
North Dakota,Dickey,39,5160,1,0,0,61.6,0,0.933551831,1141.66
Iowa,Dickinson,88,17045,0.852272727,0.147727273,0,3,0,0.906330826,403.69
Kansas,Dickinson,379,19385,0.941952507,0.058047493,0,96.6,5.7,0.883778315,852.12
Michigan,Dickinson,35,25890,0.885714286,0.114285714,1,85.4,0,0.771767308,777.12
Tennessee,Dickson,240,50925,0.945833333,0.054166667,0,32.2,0,0.945988112,491.28
Alaska,Dillingham,11,4980,0.727272727,0.272727273,1,,,0.769478458,20928.41
South Carolina,Dillon,127,31275,0.94488189,0.05511811,0,40.3,17.4,0.812866638,406.54
Texas,Dimmit,74,10840,1,0,0,,,0.891372329,1334.48
Virginia,Dinwiddie,139,28155,0.942446043,0.057553957,0,40.2,9.8,0.884284057,506.98
District of Columbia,District of Columbia,244,659010,0.967213115,0.032786885,0,31.7,22.5,0.067584598,68.34
North Dakota,Divide,13,2370,0.769230769,0.230769231,0,55.6,0,0.933551831,1294.18
Florida,Dixie,55,16085,0.909090909,0.090909091,0,,,0.882151679,863.66
Nebraska,Dixon,142,5810,0.894366197,0.105633803,,18.1,0,0.899117407,482.72
West Virginia,Doddridge,98,8365,0.775510204,0.224489796,0,,,0.694866631,320.48
Georgia,Dodge,56,20995,1,0,0,42.9,0,0.967672415,503.17
Minnesota,Dodge,170,20360,0.958823529,0.041176471,0,19.4,0,0.850650597,439.63
Nebraska,Dodge,324,36680,0.969135802,0.030864198,0,77.8,16.2,0.899117407,543.92
Wisconsin,Dodge,210,88405,0.923809524,0.076190476,0,127.4,17.9,0.833592818,906.99
Colorado,Dolores,30,1790,1,0,0,,,0.78095535,1068.09
New Mexico,Dona Ana,260,213825,0.934615385,0.065384615,0,140.3,59.9,0.698534578,3814.62
Kansas,Doniphan,127,7795,0.913385827,0.086614173,0,0.7,0,0.883778315,397.07
Texas,Donley,72,3505,0.958333333,0.041666667,0,37.9,0,0.891372329,933.05
Georgia,Dooly,73,14090,0.931506849,0.068493151,0,38.9,0,0.967672415,397.07
Wisconsin,Door,31,27670,1,0,0,,,0.833592818,2369.83
Maryland,Dorchester,46,32450,0.891304348,0.108695652,0,20.7,0,0.880315818,982.92
South Carolina,Dorchester,202,148515,0.935643564,0.064356436,0,42.7,0,0.812866638,576.69
Georgia,Dougherty,98,92325,0.989795918,0.010204082,1,60.2,0,0.967672415,334.64
Colorado,Douglas,239,314240,0.962343096,0.037656904,0,74.6,0,0.78095535,842.75
Georgia,Douglas,89,138285,1,0,0,17.2,17.2,0.967672415,200.26
Illinois,Douglas,228,19770,0.956140351,0.043859649,0,68.8,15.9,0.807663106,417.42
Kansas,Douglas,298,116350,1,0,0,29.5,21.3,0.883778315,474.47
Minnesota,Douglas,39,36860,0.948717949,0.051282051,0,32,0,0.850650597,719.94
Missouri,Douglas,74,13465,0.932432432,0.067567568,0,,,0.753229107,814.6
Nebraska,Douglas,509,543255,0.970530452,0.029469548,1,76.3,14.2,0.899117407,339.6
Nevada,Douglas,39,47425,1,0,0,,,0.873795386,737.65
Oregon,Douglas,692,107375,0.963872832,0.036127168,0,137.8,0,0.897757095,5133.83
South Dakota,Douglas,44,2960,0.863636364,0.136363636,0,,,0.857210259,434.13
Washington,Douglas,42,40100,0.976190476,0.023809524,1,15.3,15.3,0.710608062,1848.69
Wisconsin,Douglas,158,43705,0.924050633,0.075949367,0,124.5,0,0.833592818,1479.91
Arkansas,Drew,147,18690,0.972789116,0.027210884,0,40.5,0,0.796760502,835.65
Indiana,Dubois,218,42345,0.958715596,0.041284404,0,50.4,2.7,0.92512153,435.23
Iowa,Dubuque,331,96360,0.858006042,0.141993958,1,63.7,0,0.906330826,616.56
Utah,Duchesne,86,20080,0.906976744,0.093023256,0,,,0.783681005,3255.97
Massachusetts,Dukes,5,17135,1,0,1,,,0.700716679,490.95
Nebraska,Dundy,47,1825,1,0,0,41.3,41.3,0.899117407,920.79
Missouri,Dunklin,218,31270,0.944954128,0.055045872,0,17.7,0,0.753229107,547.11
North Dakota,Dunn,75,4285,0.973333333,0.026666667,0,,,0.933551831,2082.25
Wisconsin,Dunn,246,44350,0.926829268,0.073170732,0,52,0,0.833592818,863.91
Illinois,DuPage,317,930515,0.933753943,0.066246057,0,134,48,0.807663106,336.55
North Carolina,Duplin,210,59120,0.852380952,0.147619048,0,36.4,0,0.890560355,819.11
North Carolina,Durham,298,294620,0.922818792,0.077181208,0,38.8,16.2,0.890560355,297.79
New York,Dutchess,336,295905,0.883928571,0.116071429,0,94.7,94.7,0.746636286,825.38
Florida,Duval,768,900890,0.98046875,0.01953125,1,165.9,24.9,0.882151679,918.24
Texas,Duval,17,11510,1,0,0,45.1,0,0.891372329,1795.67
Tennessee,Dyer,239,37970,0.941422594,0.058577406,0,41.3,23.6,0.945988112,526.48
Colorado,Eagle,171,52895,0.923976608,0.076023392,1,62.8,51.6,0.78095535,1691.8
Georgia,Early,85,10480,1,0,0,60.5,0,0.967672415,516.27
Louisiana,East Baton Rouge,545,445335,0.805504587,0.194495413,1,73.2,0,0.743835895,470.54
Louisiana,East Carroll,59,7420,0.728813559,0.271186441,0,15.7,0,0.743835895,442.45
Louisiana,East Feliciana,138,19755,0.775362319,0.224637681,0,0.7,0,0.743835895,455.69
Texas,Eastland,121,18250,1,0,0,32.2,0,0.891372329,931.9
Michigan,Eaton,200,108545,0.93,0.07,0,55.2,31.1,0.771767308,579.02
Wisconsin,Eau Claire,233,101905,0.91416309,0.08583691,0,42.9,0,0.833592818,645.28
Georgia,Echols,41,4025,0.926829268,0.073170732,,17.3,0,0.967672415,420.8
Texas,Ector,232,153175,0.987068966,0.012931034,0,36.6,0,0.891372329,901.68
New Mexico,Eddy,92,56370,1,0,1,130.7,0,0.698534578,4197.57
North Dakota,Eddy,27,2370,0.962962963,0.037037037,0,41,0,0.933551831,644.23
Illinois,Edgar,276,17830,0.963768116,0.036231884,0,66.6,0,0.807663106,624.18
North Carolina,Edgecombe,148,54670,0.912162162,0.087837838,0,31.4,8.2,0.890560355,506.58
South Carolina,Edgefield,124,26390,0.927419355,0.072580645,0,18.9,0,0.812866638,506.54
Kentucky,Edmonson,38,12085,0.894736842,0.105263158,0,4.3,0,0.920222177,308.01
South Dakota,Edmunds,20,4000,0.75,0.25,0,48,0,0.857210259,1151.16
Illinois,Edwards,78,6610,0.948717949,0.051282051,0,9.7,0,0.807663106,222.66
Kansas,Edwards,68,2975,0.970588235,0.029411765,0,30.3,30.3,0.883778315,622.1
Texas,Edwards,141,2030,0.992907801,0.007092199,0,,,0.891372329,2119.95
Georgia,Effingham,73,55850,1,0,0,68.2,22.1,0.967672415,482.82
Illinois,Effingham,253,34355,0.95256917,0.04743083,0,78.5,23.3,0.807663106,479.9
California,El Dorado,184,183000,0.89673913,0.10326087,0,,,0.58749769,1788.1
Colorado,El Paso,660,665170,0.959090909,0.040909091,1,80.7,8.7,0.78095535,2129.56
Texas,El Paso,652,833590,0.995398773,0.004601227,1,105.6,51,0.891372329,1014.68
Colorado,Elbert,85,24225,0.952941176,0.047058824,0,28.5,0,0.78095535,1850.89
Georgia,Elbert,85,19395,0.952941176,0.047058824,0,35.4,0,0.967672415,374.54
Kansas,Elk,156,2635,0.916666667,0.083333333,0,34.1,0,0.883778315,650.36
Pennsylvania,Elk,120,31110,0.866666667,0.133333333,0,88,0,0.714875343,832.23
Indiana,Elkhart,276,201640,0.938405797,0.061594203,0,64.6,25.7,0.92512153,467.85
Nevada,Elko,213,52030,0.981220657,0.018779343,1,314.9,242.8,0.873795386,17202.94
Kentucky,Elliott,55,7660,0.854545455,0.145454545,,,,0.920222177,235.2
Kansas,Ellis,280,29030,0.978571429,0.021428571,1,31.5,0,0.883778315,900.47
Oklahoma,Ellis,149,4125,0.966442953,0.033557047,0,30.7,0,0.629165553,1231.84
Texas,Ellis,26,160225,1,0,0,96.2,0,0.891372329,951.66
Kansas,Ellsworth,253,6375,0.992094862,0.007905138,0,35.4,0,0.883778315,723.44
Alabama,Elmore,198,80955,0.96969697,0.03030303,0,16.2,0,0.880672042,657.21
Idaho,Elmore,95,26105,0.915789474,0.084210526,0,64.3,0,0.968883613,3100.51
Georgia,Emanuel,121,22725,0.983471074,0.016528926,0,22.4,0,0.967672415,690.33
Utah,Emery,126,10570,0.992063492,0.007936508,0,59.8,54.9,0.783681005,4461.54
Iowa,Emmet,77,9820,0.779220779,0.220779221,0,36.2,0,0.906330826,402.38
Michigan,Emmet,33,33090,0.878787879,0.121212121,1,6.1,0,0.771767308,882.26
North Dakota,Emmons,69,3425,0.985507246,0.014492754,0,16.7,0,0.933551831,1554.72
Virginia,Emporia,21,5565,1,0,0,4,3.8,0.884284057,6.97
Texas,Erath,686,40640,1,0,0,42.5,0,0.891372329,1089.8
New York,Erie,896,922130,0.922991071,0.077008929,1,227.8,63.2,0.746636286,1226.89
Ohio,Erie,229,75810,1,0,0,75,27.8,0.834323878,626.15
Pennsylvania,Erie,443,279135,0.880361174,0.119638826,1,153.9,43.8,0.714875343,1558.4
Alabama,Escambia,196,37875,0.964285714,0.035714286,0,89.6,0,0.880672042,952.95
Florida,Escambia,244,309575,0.893442623,0.106557377,1,108,0,0.882151679,875.57
Nevada,Esmeralda,4,1070,1,0,0,,,0.873795386,3589
Massachusetts,Essex,392,769360,0.854591837,0.145408163,0,67.7,66.9,0.700716679,828.53
New Jersey,Essex,499,792585,0.941883768,0.058116232,1,75.9,33.5,0.529653452,129.56
New York,Essex,250,38600,0.908,0.092,0,97.3,97.3,0.746636286,1916.5
Vermont,Essex,62,6175,0.983870968,0.016129032,0,27.7,0,0.821290173,673.75
Virginia,Essex,33,11130,0.909090909,0.090909091,0,,,0.884284057,285.91
Kentucky,Estill,49,14405,0.918367347,0.081632653,,22.9,0,0.920222177,255.7
Alabama,Etowah,231,103365,0.956709957,0.043290043,0,59.6,0,0.880672042,548.75
Nevada,Eureka,25,1730,0.96,0.04,0,67.5,67.5,0.873795386,4179.96
Louisiana,Evangeline,165,33765,0.933333333,0.066666667,0,30.2,0,0.743835895,679.61
Georgia,Evans,48,10735,0.9375,0.0625,0,13.2,0,0.967672415,186.88
Alaska,Fairbanks North Star,98,100150,0.897959184,0.102040816,1,77.4,36.5,0.769478458,7444.02
Virginia,Fairfax,6,23620,1,0,,,,0.884284057,406.61
Virginia,Fairfax,702,1132885,0.981481481,0.018518519,0,29,29,0.884284057,6.31
Connecticut,Fairfield,840,941620,0.926190476,0.073809524,0,103.3,64.2,0.649393876,836.96
Ohio,Fairfield,335,150165,0.970149254,0.029850746,0,58.2,0,0.834323878,508.6
South Carolina,Fairfield,143,23025,0.839160839,0.160839161,0,68.5,4.9,0.812866638,709.93
South Dakota,Fall River,78,6875,0.897435897,0.102564103,0,79.7,0,0.857210259,1749.14
Montana,Fallon,37,2915,0.945945946,0.054054054,0,38.3,0,0.880305656,1623.02
Virginia,Falls,4,13595,0.5,0.5,,,,0.884284057,773.81
Texas,Falls Church,198,17265,0.98989899,0.01010101,0,36.2,0,0.891372329,1.99
Georgia,Fannin,106,24015,0.952830189,0.047169811,0,16.3,0,0.967672415,391.43
Texas,Fannin,308,33755,0.922077922,0.077922078,0,25.7,0,0.891372329,899.16
Minnesota,Faribault,220,14120,0.922727273,0.077272727,0,79.1,0,0.850650597,721.61
South Dakota,Faulk,44,2355,0.954545455,0.045454545,0,,,0.857210259,1005.69
Arkansas,Faulkner,210,120415,0.985714286,0.014285714,0,19.4,0,0.796760502,664.01
Virginia,Fauquier,228,68025,0.964912281,0.035087719,0,48.3,15.1,0.884284057,651.42
Alabama,Fayette,191,16785,0.989528796,0.010471204,0,20,0,0.880672042,629.34
Georgia,Fayette,74,109495,0.972972973,0.027027027,0,15.2,0,0.967672415,199.25
Illinois,Fayette,361,22025,0.916897507,0.083102493,0,52,6.9,0.807663106,725.36
Indiana,Fayette,100,23610,0.87,0.13,0,29.9,24.9,0.92512153,215.12
Iowa,Fayette,358,20390,0.818435754,0.181564246,0,8.3,0,0.906330826,731.45
Kentucky,Fayette,198,311530,0.949494949,0.050505051,1,49.7,0,0.920222177,285.52
Ohio,Fayette,244,28720,0.975409836,0.024590164,0,40.2,0,0.834323878,407.08
Pennsylvania,Fayette,400,134230,0.7775,0.2225,0,126.7,38.9,0.714875343,798
Tennessee,Fayette,335,39070,0.913432836,0.086567164,0,38.6,0,0.945988112,706.23
Texas,Fayette,310,24910,0.95483871,0.04516129,0,91.2,22.8,0.891372329,959.84
West Virginia,Fayette,213,45190,0.812206573,0.187793427,0,165.5,67.9,0.694866631,668.36
Tennessee,Fentress,56,17935,0.857142857,0.142857143,0,,,0.945988112,498.97
Montana,Fergus,156,11430,0.897435897,0.102564103,0,78.9,25.2,0.880305656,4350.36
Washington,Ferry,50,7640,0.92,0.08,0,54.1,0,0.710608062,2257.46
Minnesota,Fillmore,338,20875,0.931952663,0.068047337,0,,,0.850650597,862.15
Nebraska,Fillmore,216,5675,0.888888889,0.111111111,0,24.7,23.8,0.899117407,576.62
Kansas,Finney,78,36985,1,0,1,61.5,25.7,0.883778315,1302.62
Texas,Fisher,370,3845,0.978378378,0.021621622,0,17.6,0,0.891372329,901.74
Florida,Flagler,97,102915,0.989690722,0.010309278,0,23.7,0,0.882151679,570.76
Montana,Flathead,201,94695,0.900497512,0.099502488,0,112.3,96.4,0.880305656,5256.45
Kentucky,Fleming,118,14545,0.923728814,0.076271186,0,9.5,0,0.920222177,351.47
South Carolina,Florence,278,138575,0.992805755,0.007194245,1,57.5,37.7,0.812866638,803.74
Wisconsin,Florence,20,4475,0.85,0.15,,,,0.833592818,497.46
Georgia,Floyd,202,96200,0.940594059,0.059405941,0,54.9,0,0.967672415,518.46
Indiana,Floyd,143,76290,0.937062937,0.062937063,0,11.3,0,0.92512153,148.31
Iowa,Floyd,208,16005,0.865384615,0.134615385,0,65.2,0,0.906330826,501.31
Kentucky,Floyd,156,38145,0.916666667,0.083333333,0,63.9,0,0.920222177,395.46
Texas,Floyd,150,6090,0.946666667,0.053333333,0,,,0.891372329,992.51
Virginia,Floyd,117,15585,0.982905983,0.017094017,0,,,0.884284057,381.23
Virginia,Fluvanna,54,26045,0.962962963,0.037037037,,24.3,0,0.884284057,290.21
Texas,Foard,11,1320,1,0,0,,,0.891372329,707.69
Wisconsin,Fond du Lac,244,101970,0.909836066,0.090163934,0,60.8,0,0.833592818,765.8
Illinois,Ford,302,13760,0.976821192,0.023178808,0,60.1,6.4,0.807663106,486.42
Kansas,Ford,220,34490,0.986363636,0.013636364,1,74.6,38.3,0.883778315,1099.29
Pennsylvania,Forest,65,7495,0.8,0.2,0,,,0.714875343,431.4
Wisconsin,Forest,50,9110,0.82,0.18,0,37.3,0,0.833592818,1046.4
Mississippi,Forrest,289,76275,0.955017301,0.044982699,0,65.6,13.3,0.731516457,470.17
Georgia,Forsyth,92,203840,0.97826087,0.02173913,0,,,0.967672415,247.37
North Carolina,Forsyth,412,364690,0.832524272,0.167475728,0,73.1,0,0.890560355,412.92
Texas,Fort Bend,60,683755,0.9,0.1,0,109.7,33.8,0.891372329,886.05
North Dakota,Foster,19,3345,0.947368421,0.052631579,0,67,0,0.933551831,646.72
Indiana,Fountain,196,16740,0.882653061,0.117346939,0,9,0,0.92512153,397.92
Virginia,Franklin,,8415,,,0,2.3,0,0.884284057,646.51
Alabama,Franklin,194,31575,0.948453608,0.051546392,0,22.9,0,0.880672042,619.69
Arkansas,Franklin,140,17800,0.914285714,0.085714286,0,24.7,0,0.796760502,1037.48
Florida,Franklin,44,11705,0.590909091,0.409090909,0,28.3,0,0.882151679,266.37
Georgia,Franklin,117,22190,0.982905983,0.017094017,0,14.2,0,0.967672415,668.36
Idaho,Franklin,23,13015,0.869565217,0.130434783,0,26.6,0,0.968883613,431.4
Illinois,Franklin,304,39505,0.983552632,0.016447368,0,103,0,0.807663106,391.34
Indiana,Franklin,155,22885,0.870967742,0.129032258,0,31.7,9.7,0.92512153,583.01
Iowa,Franklin,233,10395,0.854077253,0.145922747,0,26.5,0,0.906330826,576.65
Kansas,Franklin,328,25665,0.969512195,0.030487805,0,32,0,0.883778315,212.11
Kentucky,Franklin,120,49980,0.841666667,0.158333333,0,15.6,0,0.920222177,635.43
Maine,Franklin,129,30270,0.798449612,0.201550388,0,16.4,0,0.776837947,1744.31
Massachusetts,Franklin,297,70915,0.872053872,0.127946128,0,100.4,25.8,0.700716679,724.74
Mississippi,Franklin,160,7820,0.88125,0.11875,,34.8,0,0.731516457,566.74
Missouri,Franklin,333,102065,0.924924925,0.075075075,0,102.1,39.5,0.753229107,930.65
Nebraska,Franklin,104,3075,0.961538462,0.038461538,0,12.1,0,0.899117407,576.11
New York,Franklin,188,51005,0.845744681,0.154255319,1,10.6,0.9,0.746636286,1697.44
North Carolina,Franklin,117,62990,0.854700855,0.145299145,0,12.8,0,0.890560355,494.59
Ohio,Franklin,899,1232120,0.975528365,0.024471635,2,174.8,0,0.834323878,543.32
Pennsylvania,Franklin,284,152705,0.89084507,0.10915493,0,58.2,0,0.714875343,772.63
